partenza,arrivo,corse,con_misura,con_durata,durata_tot,ritardo_tot,in_ritardo,mesi,primo_mese,ultimo_mese,km,qualita_km,durata_media_min,ritardo_medio_min,min_per_100km,ritardo_per_100km,km_h_programmati,km_h_effettivi,pct_ritardo,attraversa_stretto
POTENZA CENTRALE,SALERNO,11028,8792,11027,1283355.0000,41010,2166,45,2021-11,2026-07,110.9700,ufficiale,116.3830,4.6645,104.8779,4.2034,57.2094,55.0049,24.6360,False
CANDELA,FOGGIA,400,364,400,14366.0000,1084,78,6,2022-05,2024-10,34.2500,stimata,35.9150,2.9780,104.8613,8.6950,57.2184,52.8372,21.4286,False
GORIZIA CENTRALE,TRIESTE CENTRALE,441,431,441,22898.0000,1719,76,28,2019-11,2026-07,49.5500,ufficiale,51.9229,3.9884,104.7889,8.0492,57.2580,53.1735,17.6334,False
CAMPOFELICE,PALERMO CENTRALE,1938,1925,1938,107150.0000,2320,100,20,2020-05,2026-07,52.7900,ufficiale,55.2890,1.2052,104.7338,2.2830,57.2881,56.0660,5.1948,False
BARI TORRE A MARE,BARLETTA,3114,3089,3114,215527.0000,7992,397,81,2019-10,2026-07,66.1500,ufficiale,69.2123,2.5872,104.6293,3.9112,57.3453,55.2789,12.8521,False
TORINO PORTA NUOVA,VENTIMIGLIA,12961,12812,12960,3343626.0000,84960,4617,82,2019-10,2026-07,246.7800,ufficiale,257.9958,6.6313,104.5449,2.6871,57.3916,55.9534,36.0365,False
BRENNERO,MERANO,58730,57908,58728,7470981.0000,117530,7608,81,2019-10,2026-07,121.7500,ufficiale,127.2133,2.0296,104.4873,1.6670,57.4233,56.5215,13.1381,False
GRANAIOLO,SIENA,2844,2685,2844,155844.0000,5156,231,61,2019-11,2026-07,52.4700,ufficiale,54.7975,1.9203,104.4358,3.6598,57.4516,55.5064,8.6034,False
FOGGIA,ROCCHETTA S ANTONIO LACEDONIA,4806,3853,4806,247331.0000,7614,363,34,2020-02,2026-07,49.2900,ufficiale,51.4630,1.9761,104.4085,4.0092,57.4666,55.3415,9.4212,False
MINTURNO SCAURI,NAPOLI CENTRALE,1919,1748,1918,150985.0000,5022,235,81,2019-10,2026-07,75.4300,ufficiale,78.7200,2.8730,104.3617,3.8088,57.4924,55.4680,13.4439,False
ALESSANDRIA,GENOVA BRIGNOLE,3070,2718,3069,228849.0000,9894,641,79,2019-10,2026-07,71.4800,ufficiale,74.5679,3.6402,104.3200,5.0926,57.5153,54.8383,23.5835,False
LIVORNO CENTRALE,PIOMBINO BINARI MARE,1508,1493,1508,128441.0000,2156,141,64,2019-10,2025-03,81.7100,stimata,85.1731,1.4441,104.2383,1.7673,57.5604,56.6008,9.4441,False
AOSTA,IVREA,32256,32059,32254,2226872.0000,88067,4939,52,2019-10,2024-01,66.2500,stimata,69.0417,2.7470,104.2139,4.1465,57.5739,55.3708,15.4060,False
BOLOGNA CENTRALE,ROVIGO,9535,5821,9535,782727.0000,14019,795,82,2019-10,2026-07,78.8300,ufficiale,82.0899,2.4083,104.1353,3.0551,57.6173,55.9751,13.6574,False
BENEVENTO,CASSINO,632,287,632,84721.0000,1169,48,34,2020-08,2026-07,128.7300,stimata,134.0522,4.0732,104.1344,3.1641,57.6178,55.9188,16.7247,False
FIRENZE S MARIA NOVELLA,VIAREGGIO,62328,60586,62327,6472140.0000,189498,10804,82,2019-10,2026-07,99.8200,ufficiale,103.8417,3.1278,104.0289,3.1334,57.6763,55.9898,17.8325,False
CASTELVETRANO,PIRAINETO,4359,4220,4359,399329.0000,12378,597,73,2019-10,2026-07,88.1700,ufficiale,91.6102,2.9332,103.9018,3.3267,57.7468,55.9553,14.1469,False
BOLOGNA CENTRALE,PORTOMAGGIORE,12309,12275,12307,898105.0000,41504,3263,31,2019-10,2022-12,70.2400,ufficiale,72.9751,3.3812,103.8940,4.8138,57.7512,55.1939,26.5825,False
GENOVA PIAZZA PRINCIPE,MILANO PORTA GARIBALDI,548,478,548,80476.0000,2541,160,7,2025-03,2025-12,141.4400,ufficiale,146.8540,5.3159,103.8278,3.7584,57.7880,55.7692,33.4728,False
ANCONA,CASTELPLANIO CUPRAMONTANA,7861,7737,7861,338348.0000,8944,488,79,2019-10,2026-07,41.4700,ufficiale,43.0413,1.1560,103.7891,2.7876,57.8095,56.2975,6.3074,False
ALBENGA,MILANO CENTRALE,4735,4530,4734,1050436.0000,27124,1426,82,2019-10,2026-07,213.8000,ufficiale,221.8918,5.9876,103.7848,2.8006,57.8119,56.2929,31.4790,False
CHIUSI CHIANCIANO TERME,PISTOIA,1740,1737,1740,271352.0000,3534,157,81,2019-10,2026-07,150.2900,ufficiale,155.9494,2.0345,103.7657,1.3537,57.8226,57.0779,9.0386,False
GROSSETO,SIENA,17155,16710,17155,1789276.0000,54505,3000,69,2019-10,2026-07,100.6400,ufficiale,104.3006,3.2618,103.6373,3.2411,57.8942,56.1386,17.9533,False
MILANO CENTRALE,TREVIGLIO,416,368,416,14247.0000,1649,110,28,2019-11,2026-07,33.0500,ufficiale,34.2476,4.4810,103.6236,13.5582,57.9019,51.2025,29.8913,False
LECCO MAGGIANICO,MILANO CENTRALE,14025,13652,14022,661231.0000,71772,3985,81,2019-10,2026-07,45.5200,ufficiale,47.1567,5.2573,103.5955,11.5493,57.9176,52.1083,29.1899,False
BORGO VAL TARO,PARMA,7974,7542,7971,500572.0000,21161,1552,78,2019-10,2026-07,60.6500,ufficiale,62.7991,2.8058,103.5435,4.6261,57.9466,55.4684,20.5781,False
RIETI,TERNI,9515,8282,9509,402349.0000,20125,1176,80,2019-10,2026-07,40.8800,ufficiale,42.3124,2.4300,103.5040,5.9442,57.9688,54.8205,14.1995,False
COLICO,MILANO CENTRALE,6201,6163,6201,563007.0000,40150,2439,71,2019-10,2026-07,87.7200,ufficiale,90.7929,6.5147,103.5031,7.4267,57.9693,54.0883,39.5749,False
CANCELLO,NAPOLI CAMPI FLEGREI,2571,2511,2571,135284.0000,18290,887,78,2019-10,2026-07,50.8700,ufficiale,52.6192,7.2840,103.4386,14.3188,58.0054,50.9522,35.3246,False
CALTANISSETTA XIRBI,DITTAINO,1948,1854,1948,94180.0000,2935,154,17,2023-07,2025-02,46.7600,ufficiale,48.3470,1.5831,103.3940,3.3855,58.0305,56.1906,8.3064,False
SACILE,TRIESTE CENTRALE,2101,2094,2101,290052.0000,5078,280,82,2019-10,2026-07,133.6200,ufficiale,138.0543,2.4250,103.3186,1.8149,58.0728,57.0703,13.3715,False
CASERTA,SALERNO,46845,42209,46836,2978771.0000,112833,6521,81,2019-10,2026-07,61.6200,ufficiale,63.6000,2.6732,103.2133,4.3382,58.1320,55.7872,15.4493,False
LIVORNO CENTRALE,PONTREMOLI,644,634,644,76743.0000,2170,99,49,2020-10,2026-05,115.4700,ufficiale,119.1661,3.4227,103.2010,2.9642,58.1390,56.5157,15.6151,False
BOIANO,NAPOLI CENTRALE,1427,1146,1427,224199.0000,4481,209,7,2026-01,2026-07,152.4100,ufficiale,157.1121,3.9101,103.0852,2.5655,58.2043,56.7909,18.2373,False
CAMPOBASSO,CASERTA,496,423,492,74217.0000,2261,100,9,2019-10,2020-06,146.5800,stimata,150.8476,5.3452,102.9114,3.6466,58.3026,56.3074,23.6407,False
CAMPIGLIA MARITTIMA,FIRENZE S MARIA NOVELLA,3409,3291,3409,572762.0000,10384,530,82,2019-10,2026-07,163.2700,ufficiale,168.0147,3.1553,102.9060,1.9325,58.3056,57.2308,16.1045,False
LIVORNO CENTRALE,MILANO PORTA GARIBALDI,3427,3302,3427,1057946.0000,15589,882,74,2019-10,2026-07,300.2600,ufficiale,308.7091,4.7211,102.8139,1.5723,58.3579,57.4788,26.7111,False
MILANO CERTOSA,NOVI LIGURE,557,552,557,57969.0000,6371,411,27,2024-01,2026-06,101.2700,ufficiale,104.0736,11.5417,102.7684,11.3969,58.3837,52.5553,74.4565,False
GENOVA BRIGNOLE,MILANO GRECO PIRELLI,514,509,514,75107.0000,1879,127,7,2025-12,2026-06,142.2700,ufficiale,146.1226,3.6916,102.7079,2.5948,58.4181,56.9786,24.9509,False
ORTE,PERUGIA,499,494,499,62248.0000,1819,61,41,2019-10,2026-07,121.4600,ufficiale,124.7455,3.6822,102.7050,3.0316,58.4197,56.7448,12.3482,False
ATTIGLIANO BOMARZO,VITERBO PORTA FIORENTINA,2772,2751,2772,111196.0000,3107,149,74,2019-10,2026-06,39.0600,ufficiale,40.1140,1.1294,102.6984,2.8915,58.4235,56.8236,5.4162,False
CHIUSI CHIANCIANO TERME,FIRENZE S MARIA NOVELLA,32660,31585,32660,3978905.0000,104419,6740,82,2019-10,2026-07,118.7400,ufficiale,121.8281,3.3060,102.6007,2.7842,58.4791,56.9341,21.3392,False
CARNIA,CERVIGNANO A G,382,347,382,26656.0000,1167,43,28,2019-11,2025-03,68.0200,stimata,69.7801,3.3631,102.5876,4.9443,58.4866,55.7974,12.3919,False
MESSINA CENTRALE,S AGATA MILITELLO,8512,8289,8512,859775.0000,13879,813,17,2025-03,2026-07,98.4900,ufficiale,101.0074,1.6744,102.5560,1.7001,58.5046,57.5506,9.8082,False
MILANO PORTA GARIBALDI,PORTO CERESIO,72834,71952,72821,5336662.0000,269050,18783,82,2019-10,2026-07,71.4900,ufficiale,73.2847,3.7393,102.5104,5.2305,58.5307,55.6892,26.1049,False
NOVI LIGURE,VOGHERA,895,844,895,31663.0000,2833,180,18,2024-11,2026-07,34.5600,ufficiale,35.3777,3.3566,102.3659,9.7125,58.6133,53.5340,21.3270,False
COLICO,TIRANO,653,631,653,44387.0000,2141,99,18,2020-10,2026-07,66.4200,ufficiale,67.9740,3.3930,102.3396,5.1084,58.6283,55.8409,15.6894,False
CAGLIARI,IGLESIAS,36291,35747,36289,2000974.0000,55850,2317,69,2019-10,2025-06,53.9100,ufficiale,55.1400,1.5624,102.2815,2.8981,58.6616,57.0453,6.4817,False
RIMINI,S PIETRO IN CASALE,1779,1776,1779,244481.0000,1175,53,80,2019-10,2026-07,134.4200,ufficiale,137.4261,0.6616,102.2363,0.4922,58.6875,58.4064,2.9842,False
MILANO PORTA GARIBALDI,SESTO CALENDE,1907,1838,1907,108405.0000,8796,638,32,2020-02,2026-07,55.6800,ufficiale,56.8458,4.7856,102.0938,8.5949,58.7695,54.2061,34.7116,False
BARI CENTRALE,REGGIO CALABRIA CENTRALE,583,381,583,277139.0000,2968,85,12,2024-07,2026-07,465.6800,ufficiale,475.3671,7.7900,102.0802,1.6728,58.7773,57.8296,22.3097,False
FIUMICINO AEROPORTO,ROMA TERMINI,258358,247249,258268,8278773.0000,303868,15047,80,2019-10,2026-07,31.4100,ufficiale,32.0550,1.2290,102.0534,3.9128,58.7928,56.6219,6.0858,False
FERRARA,RAVENNA,55748,55034,55743,4122489.0000,129379,7174,82,2019-10,2026-07,72.6200,ufficiale,73.9553,2.3509,101.8387,3.2373,58.9167,57.1015,13.0356,False
BERCETO,PARMA,8372,8241,8372,384127.0000,6422,353,58,2019-10,2026-07,45.1000,ufficiale,45.8823,0.7793,101.7347,1.7279,58.9769,57.9920,4.2835,False
CODOGNO,MILANO GRECO PIRELLI,1688,1614,1686,101949.0000,11049,682,79,2019-10,2026-07,59.4600,ufficiale,60.4680,6.8457,101.6952,11.5132,58.9998,52.9996,42.2553,False
CROTONE,LAMEZIA TERME CENTRALE,6937,6784,6937,725975.0000,11035,603,74,2019-10,2026-07,102.9100,ufficiale,104.6526,1.6266,101.6933,1.5806,59.0009,58.0979,8.8886,False
FERRARA,LAVEZZOLA,503,503,503,20777.0000,2751,123,45,2019-10,2026-07,40.6200,ufficiale,41.3062,5.4692,101.6892,13.4643,59.0033,52.1044,24.4533,False
MILANO CENTRALE,SAVONA,3779,3501,3778,677487.0000,21724,1222,82,2019-10,2026-07,176.4500,ufficiale,179.3242,6.2051,101.6289,3.5166,59.0383,57.0638,34.9043,False
FIRENZE S MARIA NOVELLA,VEZZANO LIGURE,993,953,993,145926.0000,2811,140,26,2021-06,2026-06,144.6300,ufficiale,146.9547,2.9496,101.6073,2.0394,59.0509,57.8889,14.6905,False
BARLETTA,FASANO,64128,61864,64122,7105344.0000,150723,7598,82,2019-10,2026-07,109.0700,ufficiale,110.8098,2.4364,101.5951,2.2338,59.0580,57.7874,12.2818,False
CAGLIARI,VILLAMASSARGIA DOMUSNOVAS,350,350,350,15923.0000,3028,83,47,2019-10,2025-06,44.7900,ufficiale,45.4943,8.6514,101.5724,19.3155,59.0712,49.6327,23.7143,False
BARDONECCHIA,TORINO PORTA NUOVA,63901,61469,63900,5592289.0000,119394,7095,82,2019-10,2026-07,86.2000,ufficiale,87.5163,1.9423,101.5270,2.2533,59.0976,57.8144,11.5424,False
MILANO S CRISTOFORO,MORTARA,603,573,603,25090.0000,5669,230,64,2019-10,2026-07,41.0100,ufficiale,41.6086,9.8935,101.4597,24.1247,59.1368,47.7766,40.1396,False
FIRENZE S MARIA NOVELLA,PIOMBINO BINARI MARE,5185,5163,5185,916177.0000,10357,486,65,2019-10,2025-03,174.1700,stimata,176.6976,2.0060,101.4512,1.1518,59.1417,58.4778,9.4131,False
BIELLA S PAOLO,NOVARA,60343,59303,60333,3105440.0000,153095,8960,82,2019-10,2026-07,50.7700,ufficiale,51.4717,2.5816,101.3820,5.0848,59.1821,56.3556,15.1088,False
ANCONA,FOLIGNO,13688,13127,13688,1778492.0000,30455,1647,82,2019-10,2026-07,128.1900,ufficiale,129.9307,2.3200,101.3579,1.8098,59.1962,58.1577,12.5467,False
CIVITAVECCHIA,ROMA TERMINI,98506,96179,98492,7738481.0000,163124,9385,82,2019-10,2026-07,77.5600,ufficiale,78.5696,1.6960,101.3018,2.1868,59.2290,57.9775,9.7578,False
ALBENGA,TORINO PORTA NUOVA,1046,999,1046,195396.0000,10204,457,40,2020-06,2026-07,184.5900,ufficiale,186.8031,10.2142,101.1989,5.5335,59.2892,56.2154,45.7457,False
BRA,TORINO REBAUDENGO FOSSATA,514,514,514,28002.0000,1864,120,15,2024-01,2026-07,53.8800,ufficiale,54.4786,3.6265,101.1110,6.7306,59.3407,55.6372,23.3463,False
ALFONSINE,FERRARA,419,414,419,23225.0000,2333,108,42,2020-06,2026-07,54.8800,ufficiale,55.4296,5.6353,101.0014,10.2683,59.4051,53.9230,26.0870,False
FIRENZE S MARIA NOVELLA,PIOMBINO MARITTIMA,1184,1162,1184,212001.0000,2472,127,17,2025-03,2026-07,177.2800,ufficiale,179.0549,2.1274,101.0012,1.2000,59.4052,58.7077,10.9294,False
SIRACUSA,TAORMINA GIARDINI,1114,964,1114,147063.0000,2605,157,16,2025-03,2026-07,130.7200,ufficiale,132.0135,2.7023,100.9895,2.0672,59.4121,58.2204,16.2863,False
ADRIA,VENEZIA MESTRE,673,666,673,65753.0000,5003,152,44,2019-10,2026-07,96.8100,ufficiale,97.7013,7.5120,100.9207,7.7595,59.4526,55.2078,22.8228,False
CECINA,LIVORNO CENTRALE,1355,1307,1354,46012.0000,1837,93,66,2019-10,2026-06,33.6900,ufficiale,33.9823,1.4055,100.8675,4.1719,59.4840,57.1214,7.1155,False
FIRENZE S MARIA NOVELLA,SARZANA,875,867,875,121058.0000,4276,186,41,2020-09,2026-06,137.2300,ufficiale,138.3520,4.9319,100.8176,3.5939,59.5134,57.4649,21.4533,False
ALESSANDRIA,NOVARA,25728,25299,25726,1726003.0000,108691,7221,82,2019-10,2026-07,66.5800,ufficiale,67.0918,4.2963,100.7687,6.4528,59.5423,55.9590,28.5426,False
LECCO MAGGIANICO,VERONA PORTA NUOVA,780,770,780,114982.0000,3891,246,53,2019-10,2026-07,146.3000,ufficiale,147.4128,5.0532,100.7606,3.4540,59.5471,57.5735,31.9481,False
PERUGIA,TERONTOLA CORTONA,3008,2965,3008,129073.0000,7933,397,77,2019-10,2026-07,42.6200,ufficiale,42.9099,2.6755,100.6802,6.2777,59.5946,56.0968,13.3895,False
EMPOLI,PISA CENTRALE,4032,3884,4028,190727.0000,9693,623,80,2019-10,2026-07,47.0600,ufficiale,47.3503,2.4956,100.6169,5.3031,59.6321,56.6466,16.0402,False
ANCONA,ORTE,549,496,549,115927.0000,1704,84,44,2019-10,2026-03,210.0700,ufficiale,211.1603,3.4355,100.5190,1.6354,59.6902,58.7346,16.9355,False
MODANE,TORINO PORTA NUOVA,396,395,396,41713.0000,940,50,6,2019-10,2020-03,104.8300,confermata,105.3359,2.3797,100.4826,2.2701,59.7119,58.3927,12.6582,False
LA SPEZIA CENTRALE,PISA CENTRALE,67120,63497,67115,5029437.0000,170117,11348,82,2019-10,2026-07,74.5800,ufficiale,74.9376,2.6791,100.4795,3.5923,59.7137,57.6525,17.8717,False
PADIGLIONE,ROMA TERMINI,3291,3250,3291,159848.0000,7141,315,82,2019-10,2026-07,48.4300,ufficiale,48.5713,2.1972,100.2917,4.5369,59.8255,57.2363,9.6923,False
ALASSIO,MILANO CENTRALE,344,343,344,75800.0000,5321,250,40,2020-06,2026-07,219.9400,ufficiale,220.3488,15.5131,100.1859,7.0533,59.8887,55.9497,72.8863,False
ASTI,TROFARELLO,1789,1759,1789,76586.0000,2301,91,16,2020-09,2026-07,42.7500,ufficiale,42.8094,1.3081,100.1389,3.0600,59.9168,58.1402,5.1734,False
TERAMO,TERMOLI,3377,3373,3377,513749.0000,3459,137,79,2019-10,2026-07,152.1600,ufficiale,152.1318,1.0255,99.9814,0.6740,60.0111,59.6093,4.0617,False
FIRENZE S MARIA NOVELLA,SIENA,64796,63709,64788,6059632.0000,145303,8105,81,2019-10,2026-07,93.5600,ufficiale,93.5302,2.2807,99.9681,2.4377,60.0191,58.5904,12.7219,False
FIRENZE S MARIA NOVELLA,LA SPEZIA CENTRALE,26776,26574,26775,4069973.0000,80044,4886,81,2019-10,2026-07,152.1900,ufficiale,152.0065,3.0121,99.8794,1.9792,60.0724,58.9052,18.3864,False
MILANO CERTOSA,NOVARA,3468,3348,3465,150367.0000,22696,1317,81,2019-10,2026-06,43.4500,ufficiale,43.3960,6.7790,99.8756,15.6018,60.0747,51.9582,39.3369,False
SALBERTRAND,TORINO PORTA NUOVA,3364,3296,3364,232421.0000,5558,331,45,2021-06,2026-07,69.1800,ufficiale,69.0907,1.6863,99.8709,2.4375,60.0776,58.6462,10.0425,False
ALESSANDRIA,MORTARA,3398,3241,3398,143553.0000,6960,330,78,2019-10,2026-07,42.3500,ufficiale,42.2463,2.1475,99.7552,5.0708,60.1472,57.2377,10.1820,False
CATANZARO LIDO,LOCRI,6245,5968,6244,514098.0000,10574,588,80,2019-10,2026-07,82.5400,ufficiale,82.3347,1.7718,99.7513,2.1466,60.1496,58.8825,9.8525,False
CARNIA,TRIESTE CENTRALE,16955,16833,16954,1887820.0000,28995,1446,82,2019-10,2026-07,111.6800,ufficiale,111.3495,1.7225,99.7041,1.5424,60.1781,59.2613,8.5903,False
COLLEFERRO SEGNI PALIANO,ROMA TERMINI,23405,22522,23393,1249232.0000,43618,2333,80,2019-10,2026-07,53.5900,ufficiale,53.4020,1.9367,99.6491,3.6139,60.2113,58.1041,10.3588,False
BRENNERO,TRENTO,1653,1597,1652,237224.0000,1488,87,81,2019-10,2026-07,144.2300,ufficiale,143.5981,0.9317,99.5619,0.6460,60.2640,59.8755,5.4477,False
MILANO CENTRALE,TIRANO,45218,44864,45213,6938351.0000,228721,12489,73,2019-10,2026-07,154.1400,ufficiale,153.4592,5.0981,99.5583,3.3074,60.2662,58.3284,27.8375,False
FAENZA,RIMINI,423,351,423,26097.0000,2248,83,42,2019-12,2026-07,61.9800,ufficiale,61.6950,6.4046,99.5402,10.3333,60.2771,54.6083,23.6467,False
CHIASSO,MILANO CENTRALE,95074,92755,95072,4500010.0000,337330,23321,82,2019-10,2026-07,47.5900,confermata,47.3327,3.6368,99.4592,7.6419,60.3262,56.0218,25.1426,False
SACILE,VENEZIA S LUCIA,23315,22333,23311,1700078.0000,32412,1737,82,2019-10,2026-07,73.3900,ufficiale,72.9303,1.4513,99.3736,1.9775,60.3782,59.2001,7.7777,False
GROSSETO,ORBETELLO,3685,3552,3685,114864.0000,2850,109,65,2019-10,2025-03,31.3700,stimata,31.1707,0.8024,99.3647,2.5577,60.3836,58.8683,3.0687,False
FAENZA,RAVENNA,16394,16015,16390,543453.0000,31262,1765,81,2019-10,2026-07,33.4100,ufficiale,33.1576,1.9520,99.2445,5.8427,60.4567,57.0954,11.0209,False
FIRENZE S MARIA NOVELLA,S BENEDETTO SAMBRO CASTIGLIONE PEPOLI,337,335,337,18828.0000,493,16,7,2023-06,2024-08,56.3000,stimata,55.8694,1.4716,99.2352,2.6139,60.4624,58.9106,4.7761,False
MILANO CENTRALE,SESTRI LEVANTE,4035,4004,4033,739244.0000,19092,1016,78,2019-10,2026-07,184.7600,ufficiale,183.2988,4.7682,99.2091,2.5808,60.4783,58.9449,25.3746,False
MALPENSA AEROPORTO TERMINAL 2,MILANO PORTA GARIBALDI,319,308,319,15559.0000,3827,184,12,2025-03,2026-07,49.1800,stimata,48.7743,12.4253,99.1751,25.2650,60.4991,48.2160,59.7403,False
CALTANISSETTA CENTRALE,CATANIA CENTRALE,10541,9330,10537,1265337.0000,25617,1295,47,2019-10,2026-07,121.1200,ufficiale,120.0851,2.7457,99.1456,2.2669,60.5171,59.1643,13.8800,False
MILANO CENTRALE,PISA CENTRALE,3315,3249,3315,921446.0000,8864,516,74,2019-10,2026-07,280.4200,ufficiale,277.9626,2.7282,99.1237,0.9729,60.5304,59.9421,15.8818,False
FELTRE,PADOVA,2359,2235,2359,189443.0000,6040,356,28,2020-12,2026-07,81.0500,ufficiale,80.3065,2.7025,99.0826,3.3343,60.5555,58.5840,15.9284,False
BRINDISI,TARANTO,30396,28166,30392,2082682.0000,71957,3606,81,2019-10,2026-07,69.1700,ufficiale,68.5273,2.5547,99.0709,3.6934,60.5627,58.3860,12.8027,False
BERGAMO,MILANO CENTRALE,86538,84773,86515,4230493.0000,252737,17533,82,2019-10,2026-07,49.4100,ufficiale,48.8990,2.9813,98.9657,6.0339,60.6271,57.1431,20.6823,False
EBOLI,NAPOLI CENTRALE,7026,6688,7024,535567.0000,26280,1761,71,2019-10,2026-07,77.2300,ufficiale,76.2481,3.9294,98.7287,5.0880,60.7726,57.7942,26.3307,False
MANTOVA,VENEZIA S LUCIA,388,382,388,54985.0000,1217,64,52,2019-10,2026-07,143.5700,ufficiale,141.7139,3.1859,98.7072,2.2190,60.7858,59.4494,16.7539,False
CAGLIARI,CARBONIA SERBARIU,28219,27819,28218,1870495.0000,41694,1595,69,2019-10,2025-06,67.1600,ufficiale,66.2873,1.4988,98.7006,2.2316,60.7899,59.4459,5.7335,False
GENOVA PIAZZA PRINCIPE,MILANO GRECO PIRELLI,1380,1289,1380,189871.0000,4138,233,7,2025-12,2026-06,139.6300,ufficiale,137.5877,3.2102,98.5373,2.2991,60.8906,59.5023,18.0760,False
ANCONA,SULMONA,1983,1983,1983,418757.0000,2047,95,81,2019-10,2026-07,214.3100,ufficiale,211.1735,1.0323,98.5365,0.4817,60.8912,60.5950,4.7907,False
MONTEBELLUNA,PADOVA,55657,54276,55647,2546251.0000,74185,3460,80,2019-10,2026-06,46.5500,ufficiale,45.7572,1.3668,98.2969,2.9362,61.0396,59.2691,6.3748,False
MASSA CENTRO,PISA CENTRALE,717,683,717,29858.0000,1918,102,28,2020-01,2026-07,42.3900,ufficiale,41.6430,2.8082,98.2377,6.6247,61.0764,57.2179,14.9341,False
CONTURSI TERME,SALERNO,709,701,709,30763.0000,1912,133,14,2020-06,2026-01,44.2100,ufficiale,43.3893,2.7275,98.1436,6.1695,61.1349,57.5192,18.9729,False
BARI CENTRALE,FASANO,18507,18114,18503,987311.0000,28819,1347,82,2019-10,2026-07,54.3700,ufficiale,53.3595,1.5910,98.1415,2.9262,61.1362,59.3662,7.4362,False
MILANO GRECO PIRELLI,NOVI LIGURE,1373,1323,1373,131620.0000,5287,386,8,2025-03,2026-06,97.6900,ufficiale,95.8631,3.9962,98.1299,4.0907,61.1435,58.6966,29.1761,False
MILANO CENTRALE,MORBEGNO,1049,1046,1049,106126.0000,6963,412,18,2020-07,2025-12,103.1100,ufficiale,101.1687,6.6568,98.1173,6.4560,61.1513,57.3760,39.3881,False
ARQUATA SCRIVIA,MILANO CERTOSA,1372,1338,1370,144240.0000,11459,640,70,2019-10,2025-12,107.4200,ufficiale,105.2847,8.5643,98.0122,7.9727,61.2169,56.6119,47.8326,False
ASTI,MILANO PORTA GARIBALDI,1367,1321,1366,180477.0000,5068,323,38,2022-08,2025-12,134.8400,ufficiale,132.1208,3.8365,97.9834,2.8452,61.2349,59.5069,24.4512,False
GENOVA BRIGNOLE,PIACENZA,4544,4483,4544,612332.0000,18814,1271,81,2019-10,2026-07,137.5300,ufficiale,134.7562,4.1967,97.9831,3.0515,61.2350,59.3856,28.3516,False
PALERMO CENTRALE,S AGATA M,23492,22681,23490,2865131.0000,39669,2025,66,2019-10,2025-03,124.7700,stimata,121.9724,1.7490,97.7578,1.4018,61.3762,60.5085,8.9282,False
IMPERIA,MILANO CENTRALE,709,695,709,164480.0000,7141,323,82,2019-10,2026-07,237.6400,ufficiale,231.9887,10.2748,97.6219,4.3237,61.4616,58.8549,46.4748,False
CHIVASSO,NOVARA,15792,13180,15786,1103266.0000,21929,1003,82,2019-10,2026-07,71.6900,ufficiale,69.8889,1.6638,97.4876,2.3208,61.5463,60.1151,7.6100,False
CEFALU,PALERMO AEROPORTO,443,399,443,42825.0000,669,32,10,2025-04,2026-07,99.2500,ufficiale,96.6704,1.6767,97.4009,1.6894,61.6011,60.5508,8.0201,False
CALTANISSETTA XIRBI,ROCCAPALUMBA ALIA,3456,3298,3456,190070.0000,5267,332,79,2019-10,2026-06,56.5700,ufficiale,54.9971,1.5970,97.2196,2.8231,61.7160,59.9744,10.0667,False
PALERMO CENTRALE,S AGATA MILITELLO,5669,5374,5669,686603.0000,11429,598,17,2025-03,2026-07,124.6900,ufficiale,121.1154,2.1267,97.1332,1.7056,61.7709,60.7049,11.1277,False
CATANZARO LIDO,ROCCELLA JONICA,1846,1707,1846,118193.0000,3797,200,73,2019-10,2026-07,65.9500,ufficiale,64.0265,2.2244,97.0835,3.3728,61.8025,59.7275,11.7165,False
BRESCIA,MILANO GRECO PIRELLI,63604,62803,63595,5111277.0000,251415,17545,82,2019-10,2026-07,82.8400,ufficiale,80.3723,4.0032,97.0211,4.8325,61.8422,58.9081,27.9366,False
NAPOLI CENTRALE,ROCCA RAVINDOLA,2387,2290,2387,247304.0000,9839,526,53,2020-06,2025-08,106.8100,ufficiale,103.6045,4.2965,96.9989,4.0226,61.8564,59.3933,22.9694,False
TERAMO,VASTO S SALVO,1850,1850,1850,231645.0000,1175,61,78,2019-10,2026-07,129.1300,ufficiale,125.2135,0.6351,96.9670,0.4919,61.8767,61.5644,3.2973,False
COMO CAMERLATA,VARESE,357,357,357,17136.0000,397,8,19,2024-10,2026-07,49.5200,ufficiale,48.0000,1.1120,96.9305,2.2456,61.9000,60.4984,2.2409,False
NOVARA,RHO,3153,3051,3153,108861.0000,9368,675,21,2020-01,2026-07,35.6300,ufficiale,34.5262,3.0705,96.9020,8.6177,61.9183,56.8615,22.1239,False
BOLOGNA CENTRALE,IMOLA,53551,51662,53519,1767521.0000,84569,5516,82,2019-10,2026-07,34.1000,ufficiale,33.0260,1.6370,96.8506,4.8005,61.9511,59.0254,10.6771,False
BORGO VAL TARO,FIRENZE S MARIA NOVELLA,2977,2893,2977,555702.0000,14582,787,76,2019-10,2026-07,193.0700,ufficiale,186.6651,5.0404,96.6826,2.6107,62.0587,60.4270,27.2036,False
COMO S GIOVANNI,MILANO CENTRALE,5689,5596,5689,256449.0000,21767,1494,80,2019-10,2026-07,46.6300,ufficiale,45.0780,3.8897,96.6718,8.3417,62.0657,57.1355,26.6976,False
