mese,categoria,cod_stazione,ruolo,parzialmente_cancellate,minuti_ritardo_tot,corse_osservate,minuti_anticipo_tot,soppresse,in_anticipo,cancellate,effettuate,oltre_60,in_ritardo,minuti_netti_tot,oltre_15,cancellate_tot,in_orario,info_mancante,oltre_30,oltre_5,oltre_10,nome_stazione,p90,p95,ritardo_mediano,ritardo_medio
2024-06,IC,S06500,partenza,0,1.0,1,0.0,0,0,0,1,0,0,1.0,0,0,1,0,0,0,0,PISA CENTRALE,1.0,1.0,1.0,1.0
2024-06,IC,S06725,arrivo,0,999.0,100,41.0,0,26,0,100,3,50,958.0,17,0,24,0,10,50,33,LIVORNO CENTRALE,28.300000000000026,43.44999999999996,4.5,9.58
2024-06,IC,S06725,partenza,0,1466.0,112,94.0,0,25,0,112,5,66,1372.0,31,0,20,0,18,66,41,LIVORNO CENTRALE,37.0,49.0,6.0,12.36036036036036
2024-06,IC,S06915,arrivo,0,135.0,1,0.0,0,0,0,1,1,1,135.0,1,0,0,0,1,1,1,AREZZO,135.0,135.0,135.0,135.0
2024-06,IC,S06915,partenza,0,80.0,1,0.0,0,0,0,1,1,1,80.0,1,0,0,0,1,1,1,AREZZO,80.0,80.0,80.0,80.0
2024-06,IC,S07004,arrivo,0,256.0,19,4.0,0,4,0,19,1,13,252.0,4,0,2,0,2,13,9,PERUGIA,26.99999999999999,43.5999999999999,9.0,13.263157894736842
2024-06,IC,S07004,partenza,0,154.0,19,0.0,0,0,0,19,0,10,154.0,2,0,9,0,1,10,4,PERUGIA,11.999999999999996,20.29999999999991,5.0,8.105263157894736
2024-06,IC,S07113,arrivo,0,492.0,27,14.0,0,7,0,27,3,11,478.0,6,0,9,0,5,11,9,ANCONA,46.80000000000006,73.0,3.0,17.703703703703702
2024-06,IC,S07113,partenza,0,73.0,25,45.0,0,13,0,25,0,4,28.0,1,0,8,0,1,4,1,ANCONA,5.0,5.799999999999998,-1.0,1.12
2024-06,IC,S07217,partenza,0,2.0,1,0.0,0,0,0,1,0,0,2.0,0,0,1,0,0,0,0,FOLIGNO,2.0,2.0,2.0,2.0
2024-06,IC,S07226,arrivo,0,308.0,23,7.0,0,2,0,23,1,16,301.0,6,0,5,0,3,16,12,TERNI,27.20000000000001,42.59999999999998,10.0,13.08695652173913
2024-06,IC,S07226,partenza,0,477.0,22,0.0,0,0,0,22,1,21,477.0,16,0,1,0,5,21,20,TERNI,35.7,50.24999999999999,18.5,21.681818181818183
2024-06,IC,S07503,arrivo,0,27.0,1,0.0,0,0,0,1,0,1,27.0,1,0,0,0,0,1,1,LORETO,27.0,27.0,27.0,27.0
2024-06,IC,S07503,partenza,0,17.0,1,0.0,0,0,0,1,0,1,17.0,1,0,0,0,0,1,1,LORETO,17.0,17.0,17.0,17.0
2024-06,IC,S07513,arrivo,0,223.0,20,45.0,0,10,0,20,0,7,178.0,7,0,3,0,3,7,7,S.BENEDETTO DEL TRONTO,35.30000000000002,47.25,-1.0,8.9
2024-06,IC,S07513,partenza,0,248.0,20,0.0,0,0,0,20,0,14,248.0,5,0,6,0,2,14,7,S.BENEDETTO DEL TRONTO,26.70000000000001,34.05000000000001,7.5,12.4
2024-06,IC,S07810,arrivo,0,300.0,22,1.0,0,1,0,22,1,15,299.0,7,0,6,0,3,15,8,PESCARA,30.10000000000002,47.149999999999984,7.5,13.590909090909092
2024-06,IC,S07810,partenza,0,266.0,23,3.0,0,2,0,23,1,19,263.0,3,0,2,0,2,19,7,PESCARA,19.40000000000001,29.099999999999987,8.0,11.434782608695652
2024-06,IC,S08409,arrivo,0,3809.0,381,297.0,0,83,0,381,14,149,3512.0,69,0,148,0,39,149,94,ROMA TERMINI,30.100000000000026,54.05,3.0,9.242105263157894
2024-06,IC,S08409,partenza,0,3414.0,362,755.0,0,145,0,362,13,130,2659.0,65,0,87,0,38,130,88,ROMA TERMINI,30.0,50.89999999999998,2.0,7.345303867403315
2024-06,IC,S08608,arrivo,0,21.0,1,0.0,0,0,0,1,0,1,21.0,1,0,0,0,0,1,1,LATINA,21.0,21.0,21.0,21.0
2024-06,IC,S09003,arrivo,0,7.0,1,0.0,0,0,0,1,0,1,7.0,0,0,0,0,0,1,0,VILLA LITERNO,7.0,7.0,7.0,7.0
2024-06,IC,S09218,arrivo,0,952.0,71,102.0,0,25,0,71,5,31,850.0,17,0,15,0,13,31,23,NAPOLI CENTRALE,37.0,63.5,4.0,11.971830985915492
2024-06,IC,S09218,partenza,0,894.0,43,8.0,0,5,0,43,4,24,886.0,13,0,14,0,5,24,15,NAPOLI CENTRALE,36.80000000000005,79.0,6.0,20.6046511627907
2024-06,IC,S09818,arrivo,0,362.0,69,234.0,0,41,0,69,1,15,128.0,9,0,13,0,3,15,10,SALERNO,16.400000000000006,25.799999999999983,-3.0,1.855072463768116
2024-06,IC,S09818,partenza,0,438.0,76,68.0,0,20,0,76,0,26,370.0,7,0,30,0,3,26,12,SALERNO,13.0,22.0,3.0,4.868421052631579
2024-06,IC,S09823,arrivo,0,121.0,21,0.0,0,0,0,21,0,10,121.0,3,0,11,0,1,10,3,BATTIPAGLIA,15.0,15.0,3.0,5.761904761904762
2024-06,IC,S09823,partenza,0,58.0,21,48.0,0,9,0,21,0,2,10.0,1,0,10,0,1,2,1,BATTIPAGLIA,1.0,9.0,0.0,0.4761904761904761
2024-06,IC,S11119,arrivo,0,756.0,41,8.0,0,5,0,41,3,28,748.0,16,0,8,0,7,28,22,BARI CENTRALE,55.0,72.0,10.0,18.24390243902439
2024-06,IC,S11119,partenza,0,1435.0,66,59.0,0,16,0,66,7,34,1376.0,26,0,16,0,18,34,32,BARI CENTRALE,62.5,77.75,8.0,20.848484848484848
2024-06,IC,S11145,arrivo,0,1558.0,108,145.0,0,32,0,108,7,46,1413.0,31,0,30,0,15,46,38,LECCE,44.49999999999999,65.59999999999997,3.0,13.083333333333334
2024-06,IC,S11145,partenza,0,1755.0,93,107.0,0,30,0,93,10,43,1648.0,19,0,20,0,14,43,24,LECCE,59.99999999999996,116.19999999999996,4.0,17.72043010752688
2024-06,IC,S11461,arrivo,0,93.0,1,0.0,0,0,0,1,1,1,93.0,1,0,0,0,1,1,1,METAPONTO,93.0,93.0,93.0,93.0
2024-06,IC,S11465,arrivo,0,238.0,27,59.0,0,12,0,27,0,10,179.0,8,0,5,0,2,10,8,TARANTO,23.200000000000006,29.2,1.0,6.62962962962963
2024-06,IC,S11465,partenza,0,517.0,30,22.0,0,3,0,30,2,24,495.0,13,0,3,0,3,24,18,TARANTO,29.70000000000001,62.94999999999986,14.0,16.5
2024-06,IC,S11702,arrivo,0,9.0,1,0.0,0,0,0,1,0,1,9.0,0,0,0,0,0,1,0,CAPACCIO ROCCADASPIDE,9.0,9.0,9.0,9.0
2024-06,IC,S11811,arrivo,0,0.0,1,2.0,0,1,0,1,0,0,-2.0,0,0,0,0,0,0,0,SIBARI,-2.0,-2.0,-2.0,-2.0
2024-06,IC,S11833,arrivo,0,45.0,4,0.0,0,0,0,4,0,3,45.0,2,0,1,0,0,3,2,CATANZARO LIDO,17.4,17.7,12.0,11.25
2024-06,IC,S11833,partenza,0,18.0,6,20.0,0,4,0,6,0,1,-2.0,1,0,1,0,0,1,1,CATANZARO LIDO,9.0,13.0,-2.5,-0.3333333333333333
2024-06,IC,S11847,arrivo,0,1.0,1,0.0,0,0,0,1,0,0,1.0,0,0,1,0,0,0,0,ROCCELLA JONICA,1.0,1.0,1.0,1.0
