mese,tipo_giorno,fascia_oraria,categoria,oltre_5,info_mancante,oltre_30,corse_osservate,cancellate,effettuate,in_ritardo,in_orario,in_anticipo,oltre_60,parzialmente_cancellate,minuti_netti_tot,soppresse,cancellate_tot,minuti_anticipo_tot,oltre_10,minuti_ritardo_tot,oltre_15,ritardo_mediano,p90,p95,ritardo_medio
2024-07,weekend,pomeriggio,EN,3,0,0,4,0,4,3,1,0,0,0,66.0,0,0,0.0,3,66.0,2,19.0,26.7,26.85,16.5
2024-07,weekend,pomeriggio,IC,92,0,24,154,0,154,92,28,32,8,0,2389.0,0,0,140.0,73,2529.0,55,9.0,47.70000000000002,58.89999999999998,15.717105263157896
2024-07,weekend,pomeriggio,IR,1,0,0,1,0,1,1,0,0,0,0,10.0,0,0,0.0,1,10.0,0,10.0,10.0,10.0,10.0
2024-07,weekend,pomeriggio,MET,35,0,6,406,0,406,35,141,210,0,0,288.0,0,0,494.0,22,782.0,17,-1.0,4.0,11.5,0.7461139896373057
2024-07,weekend,pomeriggio,REG,1849,0,166,10702,0,10702,1849,4331,4122,28,0,21780.0,0,0,10638.0,828,32418.0,482,0.0,8.0,14.0,2.114152591729761
2024-07,weekend,pomeriggio,,508,0,140,978,0,978,508,216,244,44,0,12024.0,0,0,892.0,362,12916.0,268,5.0,39.69999999999999,53.69999999999993,12.421487603305785
2024-07,weekend,sera,EC,16,0,5,28,0,28,16,2,10,1,0,379.0,0,0,30.0,12,409.0,10,5.0,41.2,44.65,13.535714285714286
2024-07,weekend,sera,EXP,1,0,1,1,0,1,1,0,0,0,0,48.0,0,0,0.0,1,48.0,1,48.0,48.0,48.0,48.0
2024-07,weekend,sera,IC,59,0,17,100,0,100,59,19,21,5,0,1574.0,0,0,110.0,43,1684.0,32,8.0,44.0,59.399999999999984,15.898989898989901
2024-07,weekend,sera,ICN,29,0,4,79,0,79,29,22,28,2,0,425.0,0,0,129.0,16,554.0,8,1.0,14.400000000000018,28.699999999999903,5.379746835443038
2024-07,weekend,sera,IR,2,0,1,2,0,2,2,0,0,0,0,62.0,0,0,0.0,2,62.0,2,31.0,39.8,40.9,31.0
2024-07,weekend,sera,MET,23,0,1,363,0,363,23,142,169,0,0,125.0,0,0,332.0,10,457.0,8,-1.0,3.0,5.349999999999966,0.374251497005988
2024-07,weekend,sera,REG,1620,0,153,8819,0,8819,1620,3514,3398,23,0,19124.0,0,0,8790.0,759,27914.0,431,1.0,9.0,15.0,2.241443975621191
2024-07,weekend,sera,,150,0,42,402,0,402,150,68,180,8,0,1124.0,0,0,2464.0,110,3588.0,86,1.0,31.0,42.1,2.824120603015076
2024-07,weekend,tarda_mattina,EC,29,0,7,66,0,66,29,16,20,2,0,685.0,0,0,46.0,20,731.0,15,4.0,32.20000000000001,48.99999999999999,10.538461538461538
